지점명,일자,방향,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
원효대교,20220711,유출,319.0,227.0,147.0,123.0,163.0,377.0,764.0,1562.0,1673.0,1098.0,1093.0,1096.0,1159.0,1334.0,1226.0,1518.0,1569.0,1729.0,1772.0,1274.0,953.0,877.0,727.0,485.0
원효대교,20220712,유출,341.0,266.0,178.0,158.0,182.0,336.0,724.0,1548.0,1575.0,1210.0,1131.0,1155.0,1129.0,1277.0,1308.0,1347.0,1519.0,1722.0,1781.0,1471.0,1021.0,899.0,778.0,554.0
원효대교,20220713,유출,355.0,328.0,186.0,140.0,156.0,350.0,620.0,1395.0,1487.0,1119.0,1054.0,1105.0,1062.0,1166.0,1197.0,1301.0,1478.0,1699.0,1804.0,1487.0,1085.0,753.0,627.0,411.0
원효대교,20220714,유출,282.0,196.0,154.0,136.0,154.0,356.0,636.0,1455.0,1607.0,1149.0,1094.0,1197.0,1089.0,1346.0,1340.0,1458.0,1617.0,1886.0,1725.0,1608.0,1060.0,1070.0,857.0,591.0
원효대교,20220715,유출,408.0,353.0,225.0,185.0,186.0,320.0,680.0,1436.0,1578.0,1147.0,1126.0,1128.0,1180.0,1241.0,1350.0,1469.0,1686.0,1751.0,1543.0,1295.0,946.0,988.0,927.0,692.0
원효대교,20220716,유출,464.0,303.0,268.0,244.0,215.0,306.0,456.0,594.0,702.0,794.0,981.0,1037.0,1053.0,1126.0,1164.0,1177.0,1349.0,1063.0,1187.0,951.0,863.0,859.0,831.0,633.0
원효대교,20220717,유출,419.0,348.0,247.0,213.0,193.0,235.0,298.0,400.0,469.0,667.0,868.0,949.0,1082.0,1161.0,1171.0,1287.0,1281.0,1206.0,1038.0,917.0,916.0,847.0,711.0,448.0
원효대교,20220718,유출,320.0,238.0,172.0,129.0,148.0,362.0,785.0,1513.0,1587.0,1101.0,1011.0,1107.0,1103.0,1245.0,1329.0,1358.0,1636.0,1730.0,1872.0,1375.0,978.0,861.0,679.0,481.0
원효대교,20220719,유출,344.0,265.0,179.0,149.0,168.0,332.0,544.0,1529.0,1579.0,1112.0,1137.0,1181.0,1143.0,1265.0,1368.0,1450.0,1662.0,1789.0,1939.0,1484.0,1076.0,910.0,797.0,552.0
원효대교,20220720,유출,382.0,284.0,201.0,135.0,171.0,352.0,697.0,1457.0,1557.0,1171.0,1051.0,1190.0,1120.0,1260.0,1360.0,1387.0,1640.0,1989.0,1579.0,1436.0,1078.0,901.0,736.0,466.0
원효대교,20220721,유출,359.0,262.0,194.0,159.0,139.0,335.0,636.0,1412.0,1615.0,1141.0,1063.0,1169.0,1130.0,1303.0,1327.0,1418.0,1710.0,1837.0,1885.0,1370.0,1055.0,912.0,813.0,558.0
